Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Metafield: miko.name_ar [single_line_text_field],Metafield: miko.weight_label [single_line_text_field],Metafield: miko.prep_methods [list.single_line_text_field],Metafield: miko.quality_tags [list.single_line_text_field]
rib-eye,Rib Eye,"<p>Rib Eye (ريب اي) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Premium Cuts",TRUE,Title,Default Title,MIKO-RIB-EYE-1,250,,deny,manual,175,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/ribeye?lock=101,1,Rib Eye — ريب اي,FALSE,Rib Eye (ريب اي) | Miko Foods,"Buy Rib Eye — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,ريب اي,250g,"[""Chilled"",""Grilling""]","[""Premium"",""Halal""]"
t-bone,T-Bone,"<p>T-Bone (تي بون) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Premium Cuts",TRUE,Title,Default Title,MIKO-T-BONE-1,400,,deny,manual,290,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/tbone?lock=102,1,T-Bone — تي بون,FALSE,T-Bone (تي بون) | Miko Foods,"Buy T-Bone — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,تي بون,400g,"[""Chilled"",""Grilling""]","[""Halal""]"
strip-loin,Strip Loin,"<p>Strip Loin (استريب ليون) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Premium Cuts",TRUE,Title,Default Title,MIKO-STRIP-LOIN-1,250,,deny,manual,160,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/sirloin?lock=103,1,Strip Loin — استريب ليون,FALSE,Strip Loin (استريب ليون) | Miko Foods,"Buy Strip Loin — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,استريب ليون,250g,"[""Chilled"",""Grilling""]","[""Halal""]"
tomahawk,Tomahawk,"<p>Tomahawk (توماهوك) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Premium Cuts, Showpiece",TRUE,Title,Default Title,MIKO-TOMAHAWK-1,500,,deny,manual,360,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/tomahawk?lock=104,1,Tomahawk — توماهوك,FALSE,Tomahawk (توماهوك) | Miko Foods,"Buy Tomahawk — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,توماهوك,450–500g,"[""Chilled"",""Grilling""]","[""Premium"",""Halal""]"
fillet-portion,Fillet Portion,"<p>Fillet Portion (فيليه بورشن) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Premium Cuts",TRUE,Title,Default Title,MIKO-FILLET-PORTION-1,200,,deny,manual,460,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/beef-fillet?lock=105,1,Fillet Portion — فيليه بورشن,FALSE,Fillet Portion (فيليه بورشن) | Miko Foods,"Buy Fillet Portion — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,فيليه بورشن,2 × 200g,"[""Chilled"",""Pan Searing""]","[""Premium"",""Halal""]"
short-ribs,Short Ribs,"<p>Short Ribs (شورت ريبس) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Value Cuts",TRUE,Title,Default Title,MIKO-SHORT-RIBS-1,350,,deny,manual,195,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/beef-ribs?lock=106,1,Short Ribs — شورت ريبس,FALSE,Short Ribs (شورت ريبس) | Miko Foods,"Buy Short Ribs — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,شورت ريبس,350g,"[""Chilled"",""Grilling""]","[""Halal""]"
bolognese-steak,Bolognese Steak,"<p>Bolognese Steak (بولونيز استيك) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Value Cuts",TRUE,Title,Default Title,MIKO-BOLOGNESE-STEAK-1,500,,deny,manual,360,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/beef-steak?lock=107,1,Bolognese Steak — بولونيز استيك,FALSE,Bolognese Steak (بولونيز استيك) | Miko Foods,"Buy Bolognese Steak — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,بولونيز استيك,450–500g,"[""Chilled""]","[""Halal""]"
sirloin-cap-sobuco,Sirloin Cap Sobuco,"<p>Sirloin Cap Sobuco (سوبوكو بقري) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Value Cuts",TRUE,Title,Default Title,MIKO-SIRLOIN-CAP-SOBUCO-1,350,,deny,manual,190,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/picanha?lock=108,1,Sirloin Cap Sobuco — سوبوكو بقري,FALSE,Sirloin Cap Sobuco (سوبوكو بقري) | Miko Foods,"Buy Sirloin Cap Sobuco — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,سوبوكو بقري,350g,"[""Chilled""]","[""Halal""]"
beef-ribs,Beef Ribs,"<p>Beef Ribs (ريش بقري) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Value Cuts",TRUE,Title,Default Title,MIKO-BEEF-RIBS-1,500,,deny,manual,350,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/beef-ribs?lock=109,1,Beef Ribs — ريش بقري,FALSE,Beef Ribs (ريش بقري) | Miko Foods,"Buy Beef Ribs — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,ريش بقري,500g,"[""Chilled"",""Grilling""]","[""Halal""]"
beef-steak,Beef Steak,"<p>Beef Steak (استيك) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Value Cuts",TRUE,Title,Default Title,MIKO-BEEF-STEAK-1,500,,deny,manual,360,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/beefsteak?lock=110,1,Beef Steak — استيك,FALSE,Beef Steak (استيك) | Miko Foods,"Buy Beef Steak — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,استيك,500g,"[""Chilled""]","[""Halal""]"
